cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00002097,Mark Warner (D-Va),76372212,309088999,192730605,2010,S,Center for Responsive Politics,,5
N00000286,Mitt Romney (R),85970233,271570014,178770123,2010,E,Center for Responsive Politics,,6
N00004309,Herb Kohl (D-Wis),88228026,258847994,173538010,2010,S,Center for Responsive Politics,,7
N99999905,Jeffrey Zients,53520052,183025000,118272526,2010,E,Center for Responsive Politics,,9
N00027626,Vernon Buchanan (R-Fla),-57239705,291979983,117370139,2010,H,Center for Responsive Politics,,10
N00000659,Frank R. Lautenberg (D-NJ),55073211,116071021,85572116,2010,S,Center for Responsive Politics,,14
N99999906,Karen Mills,42151205,116089999,79120602,2010,E,Center for Responsive Politics,,15
N00031685,Richard Blumenthal (D-Conn),55119731,91183450,73151590,2010,S,Center for Responsive Politics,,16
N00027441,Bob Corker (R-Tenn),11679048,107420996,59550022,2010,S,Center for Responsive Politics,,18
N00031647,Mike Kelly (R-Pa),7903037,61321999,34612518,2010,H,Center for Responsive Politics,,27
N00031629,Richard A. Berg (R-ND),12146147,54979033,33562590,2010,H,Center for Responsive Politics,,29
N99999914,William M. Daley,11848181,45514998,28681589,2010,E,Center for Responsive Politics,,32
N00000078,Carolyn B. Maloney (D-NY),7796017,49414994,28605505,2010,H,Center for Responsive Politics,,33
N99999927,Margaret A. Hamburg,21447035,24130019,22788527,2010,E,Center for Responsive Politics,,40
N00030962,Scott Rigell (R-Va),7819054,36119998,21969526,2010,H,Center for Responsive Politics,,44
N00027565,John Campbell (R-Calif),8438067,33024000,20731033,2010,H,Center for Responsive Politics,,46
N00029617,Kay R. Hagan (D-NC),4148690,37211977,20680333,2010,S,Center for Responsive Politics,,47
N00000480,Olympia J. Snowe (R-Maine),9426053,29270000,19348026,2010,S,Center for Responsive Politics,,48
N00029139,Bill Foster (D-Ill),6976023,29416000,18196011,2010,H,Center for Responsive Politics,,50
N00030198,Christopher J. Lee (R-NY),8334321,27363999,17849160,2010,H,Center for Responsive Politics,,52
N00006424,John McCain (R-Ariz),9249289,22785990,16017639,2010,S,Center for Responsive Politics,,57
N00029917,Parker Griffith (R-Ala),4392036,27629998,16011017,2010,H,Center for Responsive Politics,,58
N00031124,Nan Hayworth (R-NY),9347241,22463000,15905120,2010,H,Center for Responsive Politics,,59
N00009818,Shelley Berkley (D-Nev),7236882,20087837,13662359,2010,H,Center for Responsive Politics,,62
N00002599,John Linder (R-Ga),6000009,20199996,13100002,2010,H,Center for Responsive Politics,,63
N00027618,Steve Kagen (D-Wis),7431095,17641000,12536047,2010,H,Center for Responsive Politics,,64
N00005582,James M. Inhofe (R-Okla),5100056,17475999,11288027,2010,S,Center for Responsive Politics,,71
N00005329,Ben Nelson (D-Neb),6562096,13799001,10180548,2010,S,Center for Responsive Politics,,73
N00031988,Jon Runyan (R-NJ),5017042,14502000,9759521,2010,H,Center for Responsive Politics,,75
N00009775,Michael N. Castle (R-Del),3807166,13089000,8448083,2010,H,Center for Responsive Politics,,84
N00006932,David Dreier (R-Calif),4162086,12680000,8421043,2010,H,Center for Responsive Politics,,85
N00001806,James L. Oberstar (D-Minn),4184079,10185999,7185039,2010,H,Center for Responsive Politics,,94
N00002743,Allen Boyd (D-Fla),2004014,12010998,7007506,2010,H,Center for Responsive Politics,,99
N00030856,John Garamendi (D-Calif),1922009,11974997,6948503,2010,H,Center for Responsive Politics,,100
N00027526,Jean Schmidt (R-Ohio),3398056,10497000,6947528,2010,H,Center for Responsive Politics,,101
N00003762,Evan Bayh (D-Ind),4124023,9660002,6892012,2010,S,Center for Responsive Politics,,102
N00003062,Jeff Sessions (R-Ala),3224063,10460000,6842031,2010,S,Center for Responsive Politics,,104
N99999942,Eric H. Holder,3966057,8740000,6353028,2010,E,Center for Responsive Politics,,113
N00027655,Heath Shuler (D-NC),1840027,10726997,6283512,2010,H,Center for Responsive Politics,,114
N00007836,Maria Cantwell (D-Wash),2037012,10289999,6163505,2010,S,Center for Responsive Politics,,116
N00030645,Dennis Ross (R-Fla),1990008,10284998,6137503,2010,H,Center for Responsive Politics,,117
N99999958,Robert Gates,2784030,9085000,5934515,2010,E,Center for Responsive Politics,,119
N00026166,Virginia Foxx (R-NC),2755037,9102000,5928518,2010,H,Center for Responsive Politics,,120
N00013131,Eric Cantor (R-Va),2893110,8048999,5471054,2010,H,Center for Responsive Politics,,125
N00031820,Chris Coons (D-Del),3021182,7541174,5281178,2010,S,Center for Responsive Politics,,128
N00005675,Kay Bailey Hutchison (R-Texas),3082081,7405000,5243540,2010,S,Center for Responsive Politics,,129
N00006561,Tom Udall (D-NM),3068077,7299000,5183538,2010,S,Center for Responsive Politics,,130
N00012508,Tom Carper (D-Del),2058157,7155999,4607078,2010,S,Center for Responsive Politics,,142
N00029026,Niki Tsongas (D-Mass),1252045,7879998,4566021,2010,H,Center for Responsive Politics,,143
N00012739,Ander Crenshaw (R-Fla),1899018,7060000,4479509,2010,H,Center for Responsive Politics,,146
N00005681,Pete Sessions (R-Texas),2657050,6184000,4420525,2010,H,Center for Responsive Politics,,147
