cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00007017,Darrell Issa (R-Calif),135862098,677230000,406546049,2005,H,Center for Responsive Politics,,1
N99999962,Henry M. Paulson,190727081,392930017,291828549,2005,E,Center for Responsive Politics,,3
N00000245,John Kerry (D-Mass),162691416,247712081,205201748,2005,S,Center for Responsive Politics,,5
N99999981,Donald H. Rumsfeld,57039093,174710000,115874546,2005,E,Center for Responsive Politics,,8
N00001685,Jay Rockefeller (D-WVa),53650022,126079000,89864511,2005,S,Center for Responsive Politics,,10
N00007364,Dianne Feinstein (D-Calif),38941300,103030014,70985657,2005,S,Center for Responsive Politics,,12
N00000659,Frank R. Lautenberg (D-NJ),38198157,90733015,64465586,2005,S,Center for Responsive Politics,,14
N00009954,Lincoln D. Chafee (R-RI),40153103,63096018,51624560,2005,S,Center for Responsive Politics,,18
N00027565,John Campbell (R-Calif),15518085,71547000,43532542,2005,H,Center for Responsive Politics,,21
N00007815,Gordon H. Smith (R-Ore),12744661,62511638,37628149,2005,S,Center for Responsive Politics,,23
N00007360,Nancy Pelosi (D-Calif),-14753883,83084990,34165553,2005,H,Center for Responsive Politics,,25
N00008071,Elizabeth Dole (R-NC),13508143,49829000,31668571,2005,S,Center for Responsive Politics,,27
N00004426,Tom Petri (R-Wis),5011036,40541999,22776517,2005,H,Center for Responsive Politics,,39
N00005601,Tom Coburn (R-Okla),1041182,4569000,2805091,2005,S,Center for Responsive Politics,,163
N00006486,Jim Kolbe (R-Ariz),782181,4807999,2795090,2005,H,Center for Responsive Politics,,164
N00025726,Tom Cole (R-Okla),1330107,4253000,2791553,2005,H,Center for Responsive Politics,,165
N00002167,Virgil H. Goode Jr (R-Va),1530061,3978000,2754030,2005,H,Center for Responsive Politics,,167
N00012508,Tom Carper (D-Del),1335062,3957999,2646530,2005,S,Center for Responsive Politics,,174
N00029444,Michael O Johanns,1442043,3829999,2636021,2005,E,Center for Responsive Politics,,175
N00005004,James M Talent (R-Mo),1269097,3945000,2607048,2005,S,Center for Responsive Politics,,176
N99999919,John Paul Stevens,1590016,3480000,2535008,2005,J,Center for Responsive Politics,,177
N00009724,Jim Langevin (D-RI),313035,4684992,2499013,2005,H,Center for Responsive Politics,,180
N00026163,Lynn A. Westmoreland (R-Ga),-132994,5129997,2498501,2005,H,Center for Responsive Politics,,181
N00026748,Mel Martinez (R-Fla),1254040,3735998,2495019,2005,S,Center for Responsive Politics,,182
N00001311,Louise M. Slaughter (D-NY),1493017,3295000,2394008,2005,H,Center for Responsive Politics,,186
N00002656,Jack Kingston (R-Ga),2112878,2597874,2355376,2005,H,Center for Responsive Politics,,188
N00006561,Tom Udall (D-NM),1405036,3300000,2352518,2005,H,Center for Responsive Politics,,189
N99999984,Elaine L. Chao,1308018,3344999,2326508,2005,E,Center for Responsive Politics,,190
N00007479,Zoe Lofgren (D-Calif),889151,3763000,2326075,2005,H,Center for Responsive Politics,,191
N00007312,Sam Farr (D-Calif),1395027,3175000,2285013,2005,H,Center for Responsive Politics,,192
N00007335,Anna Eshoo (D-Calif),1418012,2946000,2182006,2005,H,Center for Responsive Politics,,193
N00009869,Orrin G. Hatch (R-Utah),1064070,3219000,2141535,2005,S,Center for Responsive Politics,,195
N00006983,Duncan Hunter (R-Calif),1189012,3075998,2132505,2005,H,Center for Responsive Politics,,196
N99999990,Condoleezza Rice,1305023,2900000,2102511,2005,E,Center for Responsive Politics,,197
N00000860,Rush Holt (D-NJ),1104015,3060999,2082507,2005,H,Center for Responsive Politics,,200
N00012890,Timothy V. Johnson (R-Ill),1184035,2961000,2072517,2005,H,Center for Responsive Politics,,201
N00006690,Maxine Waters (D-Calif),-2827974,6770999,1971512,2005,H,Center for Responsive Politics,,204
N00002260,David Price (D-NC),940069,2900000,1920034,2005,H,Center for Responsive Politics,,206
N00027459,Doris Matsui (D-Calif),1204009,2560000,1882004,2005,H,Center for Responsive Politics,,207
N00003950,Sander Levin (D-Mich),949013,2809999,1879506,2005,H,Center for Responsive Politics,,208
N99999921,Antonin Scalia,1115017,2595000,1855008,2005,J,Center for Responsive Politics,,210
N00001691,Carl Levin (D-Mich),1831976,1831976,1831976,2005,S,Center for Responsive Politics,,211
N00007997,Ted Stevens (R-Alaska),1103025,2549000,1826012,2005,S,Center for Responsive Politics,,212
N00007419,Mike Thompson (D-Calif),831031,2814999,1823015,2005,H,Center for Responsive Politics,,213
N00001762,Daniel R Inouye (D-Hawaii),1145006,2401000,1773003,2005,S,Center for Responsive Politics,,216
N00004613,Kent Conrad (D-ND),939039,2566999,1753019,2005,S,Center for Responsive Politics,,218
N00008051,Mark Udall (D-Colo),678110,2799000,1738555,2005,H,Center for Responsive Politics,,219
N00003042,Bud Cramer (D-Ala),1294342,2129337,1711839,2005,H,Center for Responsive Politics,,223
N99999965,R. David Paullison,1431007,1965001,1698004,2005,E,Center for Responsive Politics,,224
N00025219,Michael Burgess (R-Texas),811054,2578999,1695026,2005,H,Center for Responsive Politics,,225
N00004045,Joe Knollenberg (R-Mich),1373785,2001779,1687782,2005,H,Center for Responsive Politics,,226
N00007231,Elton Gallegly (R-Calif),909014,2409999,1659506,2005,H,Center for Responsive Politics,,229
N00005178,Christopher S. 'Kit' Bond (R-Mo),882031,2372000,1627015,2005,S,Center for Responsive Politics,,230
N00006246,Craig Thomas (R-Wyo),904030,2287000,1595515,2005,S,Center for Responsive Politics,,232
N99999968,Ben S. Bernanke,953015,2120000,1536507,2005,E,Center for Responsive Politics,,234
