cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00009753,Jim Matheson (D-Utah),496027,1315000,905513,2007,H,Center for Responsive Politics,,316
N00000226,John F. Tierney (D-Mass),490016,1275000,882508,2007,H,Center for Responsive Politics,,317
N00000851,Frank A. LoBiondo (R-NJ),521013,1242000,881506,2007,H,Center for Responsive Politics,,318
N00009774,Xavier Becerra (D-Calif),308056,1446000,877028,2007,H,Center for Responsive Politics,,319
N00013799,J. Randy Forbes (R-Va),125689,1608672,867180,2007,H,Center for Responsive Politics,,320
N00005233,Dennis Moore (D-Kan),450022,1275000,862511,2007,H,Center for Responsive Politics,,321
N00005090,Jo Ann Emerson (R-Mo),375015,1349998,862506,2007,H,Center for Responsive Politics,,322
N00010084,Tim Johnson (D-SD),440025,1277000,858512,2007,S,Center for Responsive Politics,,323
N00003280,Roger Wicker (R-Miss),83018,1621998,852508,2007,S,Center for Responsive Politics,,324
N00000143,John W. Olver (D-Mass),468018,1220000,844009,2007,H,Center for Responsive Politics,,325
N00006397,Ed Pastor (D-Ariz),376014,1301997,839005,2007,H,Center for Responsive Politics,,326
N00024978,Henry Cuellar (D-Texas),199013,1459998,829505,2007,H,Center for Responsive Politics,,327
N00003209,John J. Duncan Jr (R-Tenn),412026,1230000,821013,2007,H,Center for Responsive Politics,,328
N00028958,Jason Chaffetz (R-Utah),224018,1412999,818508,2007,H,Center for Responsive Politics,,329
N00005282,Jerry Moran (R-Kan),427019,1205000,816009,2007,H,Center for Responsive Politics,,330
N00004961,John M. Shimkus (R-Ill),220011,1409998,815004,2007,H,Center for Responsive Politics,,331
N00000766,Mike Ferguson (R-NJ),437016,1181000,809008,2007,H,Center for Responsive Politics,,332
N00007033,Bob Filner (D-Calif),399022,1213000,806011,2007,H,Center for Responsive Politics,,333
N00013323,Sam Graves (R-Mo),368016,1242997,805506,2007,H,Center for Responsive Politics,,334
N00027902,Zachary T. Space (D-Ohio),54017,1539995,797006,2007,H,Center for Responsive Politics,,335
N00007653,Daniel K. Akaka (D-Hawaii),468007,1098000,783003,2007,S,Center for Responsive Politics,,336
N00003437,Jim Bunning (R-Ky),501003,1057000,779001,2007,S,Center for Responsive Politics,,337
N00006103,Tom Tancredo (R-Colo),501004,1055000,778002,2007,H,Center for Responsive Politics,,338
N00007458,Lynn Woolsey (D-Calif),406021,1141000,773510,2007,H,Center for Responsive Politics,,339
N00001619,Robert A. Brady (D-Pa),480009,1053000,766504,2007,H,Center for Responsive Politics,,340
N00002200,Robert C. Byrd (D-WVa),465004,1050000,757502,2007,S,Center for Responsive Politics,,341
N00008188,Vic Snyder (D-Ark),408015,1096000,752007,2007,H,Center for Responsive Politics,,342
N00012611,Mike Honda (D-Calif),399013,1094999,747006,2007,H,Center for Responsive Politics,,343
N00007781,Peter DeFazio (D-Ore),167016,1324996,746006,2007,H,Center for Responsive Politics,,344
N00002269,Bob Etheridge (D-NC),179040,1310999,745019,2007,H,Center for Responsive Politics,,345
N00024773,Stephanie Herseth Sandlin (D-SD),204011,1285997,745004,2007,H,Center for Responsive Politics,,346
N00002147,Robert C. Scott (D-Va),-73903,1558995,742546,2007,H,Center for Responsive Politics,,347
N00007876,Patty Murray (D-Wash),413017,1070000,741508,2007,S,Center for Responsive Politics,,348
N00008799,Kay Granger (R-Texas),12017,1469998,741007,2007,H,Center for Responsive Politics,,349
N00006267,Mike Crapo (R-Idaho),286893,1185887,736390,2007,S,Center for Responsive Politics,,350
N00004255,Jim Nussle,295031,1174999,735015,2007,E,Center for Responsive Politics,,351
N00004905,Don Manzullo (R-Ill),416007,1039999,728003,2007,H,Center for Responsive Politics,,352
N00000133,Donna Christian-Green (D-VI),301004,1149998,725501,2007,H,Center for Responsive Politics,,353
N00027829,Gabrielle Giffords (D-Ariz),223032,1222998,723015,2007,H,Center for Responsive Politics,,354
N00007422,Ellen O. Tauscher (D-Calif),357015,1079999,718507,2007,H,Center for Responsive Politics,,355
N00004403,Ron Kind (D-Wis),232019,1192998,712508,2007,H,Center for Responsive Politics,,356
N00027741,David Loebsack (D-Iowa),362018,1056000,709009,2007,H,Center for Responsive Politics,,357
N00025413,Timothy H. Bishop (D-NY),451005,965000,708002,2007,H,Center for Responsive Politics,,358
N00001222,Maurice Hinchey (D-NY),432009,982000,707004,2007,H,Center for Responsive Politics,,359
N00001762,Daniel K. Inouye (D-Hawaii),446008,965000,705504,2007,S,Center for Responsive Politics,,360
N00005870,Gene Green (D-Texas),396008,1015000,705504,2007,H,Center for Responsive Politics,,361
N00013870,Norm Coleman (R-Minn),435001,975999,705500,2007,S,Center for Responsive Politics,,362
N00007390,George Miller (D-Calif),273014,1112999,693006,2007,H,Center for Responsive Politics,,363
N00004208,Leonard L. Boswell (D-Iowa),400003,984999,692501,2007,H,Center for Responsive Politics,,364
N00026627,Patrick McHenry (R-NC),162012,1219998,691005,2007,H,Center for Responsive Politics,,365
N00002807,Dave Weldon (R-Fla),376021,992000,684010,2007,H,Center for Responsive Politics,,366
N00002460,Bob Inglis (R-SC),327023,1039999,683511,2007,H,Center for Responsive Politics,,367
N00024809,Joe Wilson (R-SC),-162989,1524993,681002,2007,H,Center for Responsive Politics,,368
N00001764,Richard G. Lugar (R-Ind),246024,1099998,673011,2007,S,Center for Responsive Politics,,369
N00006134,Diana DeGette (D-Colo),349021,987000,668010,2007,H,Center for Responsive Politics,,370
N00006406,Jon L. Kyl (R-Ariz),608842,701838,655340,2007,S,Center for Responsive Politics,,371
N00029680,Donald J. Cazayoux (D-La),541534,765526,653530,2007,H,Center for Responsive Politics,,372
N00004572,John Thune (R-SD),277025,1005000,641012,2007,S,Center for Responsive Politics,,373
N00000469,Tom Allen (D-Maine),172013,1079999,626006,2007,H,Center for Responsive Politics,,374
N00013855,Stephen F. Lynch (D-Mass),6010,1241998,624004,2007,H,Center for Responsive Politics,,375
N00006981,Brian P. Bilbray (R-Calif),241017,1004999,623008,2007,H,Center for Responsive Politics,,376
N00030490,Marcia L. Fudge (D-Ohio),381005,865000,623002,2007,H,Center for Responsive Politics,,377
N00028986,Paul Broun Jr (R-Ga),300020,937999,619009,2007,H,Center for Responsive Politics,,378
N00029662,Bill Posey (R-Fla),197012,1031999,614505,2007,H,Center for Responsive Politics,,379
N00001143,Gary Ackerman (D-NY),329013,896999,613006,2007,H,Center for Responsive Politics,,380
N00026790,Emanuel Cleaver (D-Mo),314012,900000,607006,2007,H,Center for Responsive Politics,,381
N00029211,Steven Leo Driehaus (D-Ohio),321016,865000,593008,2007,H,Center for Responsive Politics,,382
N00007151,Dana Rohrabacher (R-Calif),187874,987871,587872,2007,H,Center for Responsive Politics,,383
N00013837,Gresham Barrett (R-SC),328013,846000,587006,2007,H,Center for Responsive Politics,,384
N00001093,Charles E. Schumer (D-NY),276023,890000,583011,2007,S,Center for Responsive Politics,,385
N00001633,Joe Pitts (R-Pa),346009,815000,580504,2007,H,Center for Responsive Politics,,386
N00000397,John E. Sununu (R-NH),297016,855000,576008,2007,S,Center for Responsive Politics,,387
N00029784,Glenn Nye (D-Va),-43971,1189998,573013,2007,H,Center for Responsive Politics,,388
N00006242,Barbara Cubin (R-Wyo),290016,851000,570508,2007,H,Center for Responsive Politics,,389
N99999923,Anthony M. Kennedy,365004,765000,565002,2007,J,Center for Responsive Politics,,390
N00002858,Ileana Ros-Lehtinen (R-Fla),336012,792000,564006,2007,H,Center for Responsive Politics,,391
N00006882,Howard P. (Buck) Mckeon (R-Calif),237021,882999,560010,2007,H,Center for Responsive Politics,,392
N00029146,Frank M Kratovil Jr (D-Md),346006,765000,555503,2007,H,Center for Responsive Politics,,393
N00026591,Ben Chandler (D-Ky),313012,796000,554506,2007,H,Center for Responsive Politics,,394
N00002073,Frank R. Wolf (R-Va),524182,573180,548681,2007,H,Center for Responsive Politics,,395
N00003950,Sander Levin (D-Mich),-154978,1249998,547510,2007,H,Center for Responsive Politics,,396
N00001821,Steny H. Hoyer (D-Md),334008,760000,547004,2007,H,Center for Responsive Politics,,397
N00027464,Bruce Braley (D-Iowa),282016,806000,544008,2007,H,Center for Responsive Politics,,398
N00005353,William J. Jefferson (D-La),66006,1004995,535500,2007,H,Center for Responsive Politics,,399
N00013808,Thad McCotter (R-Mich),245019,825000,535009,2007,H,Center for Responsive Politics,,400
N00027901,Betty Sue Sutton (D-Ohio),242025,805000,523512,2007,H,Center for Responsive Politics,,401
N00026171,Charlie Dent (R-Pa),168050,878000,523025,2007,H,Center for Responsive Politics,,402
N00007700,Darlene Hooley (D-Ore),220024,826000,523012,2007,H,Center for Responsive Politics,,403
N00026892,Ken Salazar (D-Colo),15004,1019996,517500,2007,S,Center for Responsive Politics,,404
N00000362,Jack Reed (D-RI),200032,831000,515516,2007,S,Center for Responsive Politics,,405
N00002091,Larry Craig (R-Idaho),330004,700000,515002,2007,S,Center for Responsive Politics,,406
N00000716,Donald M. Payne (D-NJ),83019,941996,512507,2007,H,Center for Responsive Politics,,407
N00024842,Joe Courtney (D-Conn),218021,795000,506510,2007,H,Center for Responsive Politics,,408
N00000205,Marty Meehan (D-Mass),296008,715000,505504,2007,H,Center for Responsive Politics,,409
N00027664,Jason Altmire (D-Pa),266013,740000,503006,2007,H,Center for Responsive Politics,,410
N00026586,Joe Donnelly (D-Ind),21009,974998,498003,2007,H,Center for Responsive Politics,,411
N00012539,Mark Kirk (R-Ill),148008,844999,496503,2007,H,Center for Responsive Politics,,412
N00027751,John Sarbanes (D-Md),221020,757000,489010,2007,H,Center for Responsive Politics,,413
N00003522,Marcy Kaptur (D-Ohio),228015,746999,487507,2007,H,Center for Responsive Politics,,414
N00004436,John Kline (R-Minn),253014,720000,486507,2007,H,Center for Responsive Politics,,415
N00029327,Mark Schauer (D-Mich),218023,746000,482011,2007,H,Center for Responsive Politics,,416
N00001945,Barbara A. Mikulski (D-Md),209020,745000,477010,2007,S,Center for Responsive Politics,,417
N00004745,Jerry Weller (R-Ill),-383993,1335993,476000,2007,H,Center for Responsive Politics,,418
N00027575,Brad Ellsworth (D-Ind),168030,772000,470015,2007,H,Center for Responsive Politics,,419
N00005883,Kevin Brady (R-Texas),130032,805999,468015,2007,H,Center for Responsive Politics,,420
N00009082,Wayne Allard (R-Colo),-17993,932998,457502,2007,S,Center for Responsive Politics,,421
N00001469,Tim Holden (D-Pa),259019,640000,449509,2007,H,Center for Responsive Politics,,422
N00029675,Steven Brett Guthrie (R-Ky),237012,655000,446006,2007,H,Center for Responsive Politics,,423
N00001422,John E. Peterson (R-Pa),188019,695000,441509,2007,H,Center for Responsive Politics,,424
N00004956,Jerry F. Costello (D-Ill),233009,647000,440004,2007,H,Center for Responsive Politics,,425
N00025237,Steven A. King (R-Iowa),280003,600000,440001,2007,H,Center for Responsive Politics,,426
N00026163,Lynn A. Westmoreland (R-Ga),-3982995,4829998,423501,2007,H,Center for Responsive Politics,,427
N00003341,"Charles W. Chip"" Pickering Jr. (R-Miss)""",256007,590000,423003,2007,H,Center for Responsive Politics,,428
N00006671,Lucille Roybal-Allard (D-Calif),236013,591000,413506,2007,H,Center for Responsive Politics,,429
N99999956,Mary Peters,214010,610000,412005,2007,E,Center for Responsive Politics,,430
N99999949,John P Walters,203013,620000,411506,2007,E,Center for Responsive Politics,,431
N00007632,Eni F. H. Faleomavaega (D-AS),-104984,916998,406007,2007,H,Center for Responsive Politics,,432
N00007999,Don Young (R-Alaska),231007,566000,398503,2007,H,Center for Responsive Politics,,433
N00002408,James E. Clyburn (D-SC),212011,583000,397505,2007,H,Center for Responsive Politics,,434
N00003813,Pete Visclosky (D-Ind),212008,580000,396004,2007,H,Center for Responsive Politics,,435
N00026885,Dave Reichert (R-Wash),193010,595000,394005,2007,H,Center for Responsive Politics,,436
N00006052,Mac Thornberry (R-Texas),252003,530000,391001,2007,H,Center for Responsive Politics,,437
N00000699,Robert Menendez (D-NJ),202004,579999,391001,2007,S,Center for Responsive Politics,,438
N00003924,Steve Buyer (R-Ind),219008,560000,389504,2007,H,Center for Responsive Politics,,439
N00003105,Marsha Blackburn (R-Tenn),87035,687000,387017,2007,H,Center for Responsive Politics,,440
N00027462,Gus Bilirakis (R-Fla),109019,659999,384509,2007,H,Center for Responsive Politics,,441
N00000280,Bill Delahunt (D-Mass),251002,515000,383001,2007,H,Center for Responsive Politics,,442
N00026595,Charles W. Boustany Jr (R-La),182006,580999,381502,2007,H,Center for Responsive Politics,,443
N00009660,Steve Scalise (R-La),112032,649000,380516,2007,H,Center for Responsive Politics,,444
N00027658,Kirsten Gillibrand (D-NY),158017,595000,376508,2007,H,Center for Responsive Politics,,445
N00029391,Erik Paulsen (R-Minn),123034,629000,376017,2007,H,Center for Responsive Politics,,446
N00024770,Mike Michaud (D-Maine),164018,586000,375009,2007,H,Center for Responsive Politics,,447
N00027523,Albio Sires (D-NJ),168013,570000,369006,2007,H,Center for Responsive Politics,,448
N00004615,Byron L. Dorgan (D-ND),-133959,869998,368019,2007,S,Center for Responsive Politics,,449
N00002327,Sue Myrick (R-NC),216005,515000,365502,2007,H,Center for Responsive Politics,,450
N00001725,Jay Inslee (D-Wash),122025,606000,364012,2007,H,Center for Responsive Politics,,451
N00002685,Saxby Chambliss (R-Ga),191009,515000,353004,2007,S,Center for Responsive Politics,,452
N00027703,Chris Carney (D-Pa),196009,506000,351004,2007,H,Center for Responsive Politics,,453
N00029260,Ann Kirkpatrick (D-Ariz),98011,601997,350004,2007,H,Center for Responsive Politics,,454
N00024753,Mike Coffman (R-Colo),203006,495000,349003,2007,H,Center for Responsive Politics,,455
N00004070,Dale E. Kildee (D-Mich),198010,496000,347005,2007,H,Center for Responsive Politics,,456
N00000528,Bernie Sanders (I-Vt),176007,515000,345503,2007,S,Center for Responsive Politics,,457
N00003561,Stephanie Tubbs Jones (D-Ohio),186003,505000,345501,2007,H,Center for Responsive Politics,,458
N00009738,John Culberson (R-Texas),185002,490000,337501,2007,H,Center for Responsive Politics,,459
N00000826,Robert E. Andrews (D-NJ),280858,392853,336855,2007,H,Center for Responsive Politics,,460
N00000781,Frank Pallone Jr (D-NJ),-16959,689998,336519,2007,H,Center for Responsive Politics,,461
N00007556,John T. Doolittle (R-Calif),96021,576999,336510,2007,H,Center for Responsive Politics,,462
N00002674,Sanford D. Bishop Jr. (D-Ga),119010,550999,335004,2007,H,Center for Responsive Politics,,463
N00027503,Bob Casey (D-Pa),166012,496000,331006,2007,S,Center for Responsive Politics,,464
N00004155,Peter Hoekstra (R-Mich),116016,542999,329507,2007,H,Center for Responsive Politics,,465
N00001427,Phil English (R-Pa),151010,490000,320505,2007,H,Center for Responsive Politics,,466
N00008264,Ed Royce (R-Calif),154014,485000,319507,2007,H,Center for Responsive Politics,,467
N00026106,Debbie Wasserman Schultz (D-Fla),71008,559997,315502,2007,H,Center for Responsive Politics,,468
N00003875,Baron Hill (D-Ind),169008,461000,315004,2007,H,Center for Responsive Politics,,469
N00029273,Aaron Schock (R-Ill),-819994,1449998,315002,2007,H,Center for Responsive Politics,,470
N00024870,Linda Sanchez (D-Calif),150001,469998,309999,2007,H,Center for Responsive Politics,,471
N00025093,Brad Miller (D-NC),-145952,759999,307023,2007,H,Center for Responsive Politics,,472
N00013820,Chris Van Hollen (D-Md),149008,460000,304504,2007,H,Center for Responsive Politics,,473
N00028152,Kevin McCarthy (R-Calif),114016,485000,299508,2007,H,Center for Responsive Politics,,474
N00004884,Danny K. Davis (D-Ill),137014,459000,298007,2007,H,Center for Responsive Politics,,475
N00004005,Carolyn Cheeks Kilpatrick (D-Mich),102019,481000,291509,2007,H,Center for Responsive Politics,,476
N00002299,Walter B. Jones Jr. (R-NC),166006,417000,291503,2007,H,Center for Responsive Politics,,477
N00026631,Jeffrey Lane Fortenberry (R-Neb),155008,426000,290504,2007,H,Center for Responsive Politics,,478
