cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00030968,Reid Ribble (R-Wis),172031,2184999,1178515,2014,H,Center for Responsive Politics,,278
N00036403,Daniel Milton Newhouse (R-Wash),708013,1645000,1176506,2014,H,Center for Responsive Politics,,279
N00031958,Steven Palazzo (R-Miss),359021,1979996,1169508,2014,H,Center for Responsive Politics,,280
N00030768,Martha Roby (R-Ala),593039,1731999,1162519,2014,H,Center for Responsive Politics,,281
N00029574,Steve Stivers (R-Ohio),537046,1782000,1159523,2014,H,Center for Responsive Politics,,282
N00001971,Elijah E Cummings (D-Md),194014,2110997,1152505,2014,H,Center for Responsive Politics,,283
N00007999,Don Young (R-Alaska),681009,1565000,1123004,2014,H,Center for Responsive Politics,,284
N00031227,Larry Bucshon (R-Ind),1104097,1140095,1122096,2014,H,Center for Responsive Politics,,285
N00032019,David Cicilline (D-RI),702004,1514999,1108501,2014,H,Center for Responsive Politics,,286
N00007781,Peter DeFazio (D-Ore),617020,1580999,1099009,2014,H,Center for Responsive Politics,,287
N00030752,Jeff Duncan (R-SC),296019,1899996,1098007,2014,H,Center for Responsive Politics,,288
N00000851,Frank A LoBiondo (R-NJ),50106,2126998,1088552,2014,H,Center for Responsive Politics,,289
N00027500,Amy Klobuchar (D-Minn),550030,1579000,1064515,2014,S,Center for Responsive Politics,,290
N00013770,Bill Shuster (R-Pa),629020,1462000,1045510,2014,H,Center for Responsive Politics,,291
N00036135,Garret Graves (R-La),606019,1418000,1012009,2014,H,Center for Responsive Politics,,292
N00006249,Mike Enzi (R-Wyo),387057,1631000,1009028,2014,S,Center for Responsive Politics,,293
N00029168,Pedro Pierluisi (D-PR),786004,1229995,1007999,2014,H,Center for Responsive Politics,,294
N00006671,Lucille Roybal-Allard (D-Calif),597008,1415999,1006503,2014,H,Center for Responsive Politics,,295
N00034068,Brenda Lawrence (D-Mich),527019,1439999,983509,2014,H,Center for Responsive Politics,,296
N00026595,Charles W Boustany Jr (R-La),825070,1118063,971566,2014,H,Center for Responsive Politics,,297
N00012611,Mike Honda (D-Calif),583010,1345000,964005,2014,H,Center for Responsive Politics,,298
N00034224,Paul Cook (R-Calif),558016,1347000,952508,2014,H,Center for Responsive Politics,,299
N00027751,John Sarbanes (D-Md),578014,1295000,936507,2014,H,Center for Responsive Politics,,300
N00004719,Peter Roskam (R-Ill),415043,1450000,932521,2014,H,Center for Responsive Politics,,301
N00031317,Ted Deutch (D-Fla),411043,1445000,928021,2014,H,Center for Responsive Politics,,302
N00034120,Scott Perry (R-Pa),313020,1469997,891508,2014,H,Center for Responsive Politics,,303
N99999923,Anthony M. Kennedy,580004,1200000,890002,2014,J,Center for Responsive Politics,,304
N00030788,Tom Graves (R-Ga),386014,1389999,888006,2014,H,Center for Responsive Politics,,305
