cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00024862,Geoff Davis (R-Ky),-32996,129999,48501,2006,H,Center for Responsive Politics,,575
N99999952,Stephen L. Johnson,6006,90000,48003,2006,E,Center for Responsive Politics,,576
N00001003,Eliot L. Engel (D-NY),3004,85000,44002,2006,H,Center for Responsive Politics,,577
N00001214,Michael R. McNulty (D-NY),16002,65000,40501,2006,H,Center for Responsive Politics,,579
N00002472,Jim DeMint (R-SC),16002,65000,40501,2006,S,Center for Responsive Politics,,580
N00013345,Steve Israel (D-NY),-18997,99999,40501,2006,H,Center for Responsive Politics,,582
N00006067,Silvestre Reyes (D-Texas),16002,65000,40501,2006,H,Center for Responsive Politics,,583
N00027644,William T. Sali (R-Idaho),15001,50000,32500,2006,H,Center for Responsive Politics,,589
N00026914,Gwen Moore (D-Wis),3003,45000,24001,2006,H,Center for Responsive Politics,,591
N00026926,Jerry McNerney (D-Calif),-32997,64999,16001,2006,H,Center for Responsive Politics,,594
N00025292,Rob Bishop (R-Utah),2002,30000,16001,2006,H,Center for Responsive Politics,,595
N00001074,Major R. Owens (D-NY),0,0,0,2006,H,Center for Responsive Politics,,610
N00001171,Gregory W. Meeks (D-NY),0,0,0,2006,H,Center for Responsive Politics,,612
N00001669,Joseph R. Biden Jr. (D-Del),-302980,277997,-12491,2006,S,Center for Responsive Politics,,614
N00027566,Chris Murphy (D-Conn),-50000,-15001,-32500,2006,H,Center for Responsive Politics,,619
N00001102,Nydia M. Velazquez (D-NY),-4098997,4004998,-46999,2006,H,Center for Responsive Politics,,622
N00002905,Robert Wexler (D-Fla),-100000,-50001,-75000,2006,H,Center for Responsive Politics,,625
N00001535,Curt Weldon (R-Pa),-162997,-44002,-103499,2006,H,Center for Responsive Politics,,626
N00026425,Connie Mack (R-Fla),-749999,399998,-175000,2006,H,Center for Responsive Politics,,628
N00026163,Lynn A. Westmoreland (R-Ga),-4832995,4429995,-201500,2006,H,Center for Responsive Politics,,629
N00002610,Nathan Deal (R-Ga),-3999992,13799996,4900002,2006,H,Center for Responsive Politics,,122
N00004128,Joe Schwarz (R-Mich),2060011,7700999,4880505,2006,H,Center for Responsive Politics,,123
N00024759,Mike D. Rogers (R-Ala),1621020,8039999,4830509,2006,H,Center for Responsive Politics,,126
N00003132,Jim Cooper (D-Tenn),3011039,6616000,4813519,2006,H,Center for Responsive Politics,,127
